product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason,month,year,demand_level,recommended_quantity,prompt,response
FB000019,Outerwear,Mango,Summer,M,Purple,137.95,58.5,57.25,2025-08-06,16,4.1,False,No Return,8,2025,Medium Demand,31,"Season: Summer, Category: Outerwear, Brand: Mango, Color: Purple, Price: 57.25, Rating: 4.1, Markdown: 58.5%, Demand: Medium Demand","Recommend stocking 31 units of Outerwear (Mango, Purple) for Summer season. Current demand is Medium Demand with a customer rating of 4.1/5."
FB000020,Outerwear,Banana Republic,Summer,XXL,Gray,142.59,0.0,142.59,2025-08-06,1,3.7,False,No Return,8,2025,High Demand,31,"Season: Summer, Category: Outerwear, Brand: Banana Republic, Color: Gray, Price: 142.59, Rating: 3.7, Markdown: 0.0%, Demand: High Demand","Recommend stocking 31 units of Outerwear (Banana Republic, Gray) for Summer season. Current demand is High Demand with a customer rating of 3.7/5."
FB000021,Bottoms,Mango,Fall,L,Beige,33.33,21.8,26.06,2025-08-06,42,3.0,False,No Return,8,2025,Low Demand,47,"Season: Fall, Category: Bottoms, Brand: Mango, Color: Beige, Price: 26.06, Rating: 3.0, Markdown: 21.8%, Demand: Low Demand","Recommend stocking 47 units of Bottoms (Mango, Beige) for Fall season. Current demand is Low Demand with a customer rating of 3.0/5."
FB000022,Accessories,Zara,Spring,Unknown,Brown,62.3,0.0,62.3,2024-09-24,10,2.5,False,No Return,9,2024,High Demand,40,"Season: Spring, Category: Accessories, Brand: Zara, Color: Brown, Price: 62.30, Rating: 2.5, Markdown: 0.0%, Demand: High Demand","Recommend stocking 40 units of Accessories (Zara, Brown) for Spring season. Current demand is High Demand with a customer rating of 2.5/5."
FB000023,Accessories,Zara,Winter,Unknown,Pink,38.48,0.0,38.48,2025-08-06,46,1.2,False,No Return,8,2025,Low Demand,51,"Season: Winter, Category: Accessories, Brand: Zara, Color: Pink, Price: 38.48, Rating: 1.2, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 51 units of Accessories (Zara, Pink) for Winter season. Current demand is Low Demand with a customer rating of 1.2/5."
FB000024,Dresses,Banana Republic,Summer,XL,Green,91.36,0.0,91.36,2025-08-06,37,1.2,True,Size Issue,8,2025,Low Demand,42,"Season: Summer, Category: Dresses, Brand: Banana Republic, Color: Green, Price: 91.36, Rating: 1.2, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 42 units of Dresses (Banana Republic, Green) for Summer season. Current demand is Low Demand with a customer rating of 1.2/5."
FB000025,Tops,Forever21,Fall,XS,Blue,80.47,29.1,57.05,2025-08-06,38,3.6,False,No Return,8,2025,Low Demand,43,"Season: Fall, Category: Tops, Brand: Forever21, Color: Blue, Price: 57.05, Rating: 3.6, Markdown: 29.1%, Demand: Low Demand","Recommend stocking 43 units of Tops (Forever21, Blue) for Fall season. Current demand is Low Demand with a customer rating of 3.6/5."
FB000026,Bottoms,Uniqlo,Spring,M,Red,40.89,34.0,26.99,2025-06-11,16,3.7,False,No Return,6,2025,Medium Demand,31,"Season: Spring, Category: Bottoms, Brand: Uniqlo, Color: Red, Price: 26.99, Rating: 3.7, Markdown: 34.0%, Demand: Medium Demand","Recommend stocking 31 units of Bottoms (Uniqlo, Red) for Spring season. Current demand is Medium Demand with a customer rating of 3.7/5."
FB000027,Bottoms,Banana Republic,Summer,L,Red,47.04,36.0,30.11,2025-08-06,25,1.1,True,Damaged,8,2025,Medium Demand,40,"Season: Summer, Category: Bottoms, Brand: Banana Republic, Color: Red, Price: 30.11, Rating: 1.1, Markdown: 36.0%, Demand: Medium Demand","Recommend stocking 40 units of Bottoms (Banana Republic, Red) for Summer season. Current demand is Medium Demand with a customer rating of 1.1/5."
FB000028,Bottoms,Gap,Summer,M,Blue,53.37,0.0,53.37,2025-08-06,28,3.8,False,No Return,8,2025,Medium Demand,43,"Season: Summer, Category: Bottoms, Brand: Gap, Color: Blue, Price: 53.37, Rating: 3.8, Markdown: 0.0%, Demand: Medium Demand","Recommend stocking 43 units of Bottoms (Gap, Blue) for Summer season. Current demand is Medium Demand with a customer rating of 3.8/5."
FB000029,Dresses,Ann Taylor,Summer,L,White,114.35,0.0,114.35,2025-08-06,6,1.2,False,No Return,8,2025,High Demand,36,"Season: Summer, Category: Dresses, Brand: Ann Taylor, Color: White, Price: 114.35, Rating: 1.2, Markdown: 0.0%, Demand: High Demand","Recommend stocking 36 units of Dresses (Ann Taylor, White) for Summer season. Current demand is High Demand with a customer rating of 1.2/5."
FB000030,Shoes,Gap,Spring,XL,Red,77.63,0.0,77.63,2024-10-24,1,3.0,False,No Return,10,2024,High Demand,31,"Season: Spring, Category: Shoes, Brand: Gap, Color: Red, Price: 77.63, Rating: 3.0, Markdown: 0.0%, Demand: High Demand","Recommend stocking 31 units of Shoes (Gap, Red) for Spring season. Current demand is High Demand with a customer rating of 3.0/5."
FB000031,Shoes,Uniqlo,Summer,S,Red,71.29,0.0,71.29,2025-08-06,37,4.1,True,Quality Issue,8,2025,Low Demand,42,"Season: Summer, Category: Shoes, Brand: Uniqlo, Color: Red, Price: 71.29, Rating: 4.1, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 42 units of Shoes (Uniqlo, Red) for Summer season. Current demand is Low Demand with a customer rating of 4.1/5."
FB000032,Tops,Gap,Spring,L,Purple,37.43,24.4,28.3,2025-04-16,5,3.0,False,No Return,4,2025,High Demand,35,"Season: Spring, Category: Tops, Brand: Gap, Color: Purple, Price: 28.30, Rating: 3.0, Markdown: 24.4%, Demand: High Demand","Recommend stocking 35 units of Tops (Gap, Purple) for Spring season. Current demand is High Demand with a customer rating of 3.0/5."
FB000033,Shoes,Zara,Spring,XL,Purple,143.78,0.0,143.78,2024-10-16,43,1.1,False,No Return,10,2024,Low Demand,48,"Season: Spring, Category: Shoes, Brand: Zara, Color: Purple, Price: 143.78, Rating: 1.1, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 48 units of Shoes (Zara, Purple) for Spring season. Current demand is Low Demand with a customer rating of 1.1/5."
FB000034,Tops,Banana Republic,Summer,XL,Gray,88.23,0.0,88.23,2025-08-06,44,1.6,False,No Return,8,2025,Low Demand,49,"Season: Summer, Category: Tops, Brand: Banana Republic, Color: Gray, Price: 88.23, Rating: 1.6, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 49 units of Tops (Banana Republic, Gray) for Summer season. Current demand is Low Demand with a customer rating of 1.6/5."
FB000035,Accessories,Forever21,Fall,Unknown,Navy,58.57,0.0,58.57,2025-08-06,38,1.5,False,No Return,8,2025,Low Demand,43,"Season: Fall, Category: Accessories, Brand: Forever21, Color: Navy, Price: 58.57, Rating: 1.5, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 43 units of Accessories (Forever21, Navy) for Fall season. Current demand is Low Demand with a customer rating of 1.5/5."
FB000036,Tops,Uniqlo,Winter,XXL,White,119.7,5.7,112.88,2025-08-06,37,4.9,False,No Return,8,2025,Low Demand,42,"Season: Winter, Category: Tops, Brand: Uniqlo, Color: White, Price: 112.88, Rating: 4.9, Markdown: 5.7%, Demand: Low Demand","Recommend stocking 42 units of Tops (Uniqlo, White) for Winter season. Current demand is Low Demand with a customer rating of 4.9/5."
FB000037,Bottoms,Banana Republic,Fall,XXL,Green,97.06,47.8,50.67,2025-08-06,31,4.1,False,No Return,8,2025,Low Demand,36,"Season: Fall, Category: Bottoms, Brand: Banana Republic, Color: Green, Price: 50.67, Rating: 4.1, Markdown: 47.8%, Demand: Low Demand","Recommend stocking 36 units of Bottoms (Banana Republic, Green) for Fall season. Current demand is Low Demand with a customer rating of 4.1/5."
FB000038,Dresses,Banana Republic,Summer,L,White,110.09,0.0,110.09,2025-08-06,32,3.4,False,No Return,8,2025,Low Demand,37,"Season: Summer, Category: Dresses, Brand: Banana Republic, Color: White, Price: 110.09, Rating: 3.4, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 37 units of Dresses (Banana Republic, White) for Summer season. Current demand is Low Demand with a customer rating of 3.4/5."
FB000039,Shoes,Zara,Winter,XS,Green,198.42,14.2,170.24,2025-08-06,10,3.0,False,No Return,8,2025,High Demand,40,"Season: Winter, Category: Shoes, Brand: Zara, Color: Green, Price: 170.24, Rating: 3.0, Markdown: 14.2%, Demand: High Demand","Recommend stocking 40 units of Shoes (Zara, Green) for Winter season. Current demand is High Demand with a customer rating of 3.0/5."
FB000040,Bottoms,Banana Republic,Winter,Unknown,Purple,101.72,0.0,101.72,2025-08-06,40,3.0,False,No Return,8,2025,Low Demand,45,"Season: Winter, Category: Bottoms, Brand: Banana Republic, Color: Purple, Price: 101.72, Rating: 3.0, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 45 units of Bottoms (Banana Republic, Purple) for Winter season. Current demand is Low Demand with a customer rating of 3.0/5."
FB000041,Tops,Uniqlo,Summer,S,White,117.86,0.0,117.86,2025-08-06,6,3.0,False,No Return,8,2025,High Demand,36,"Season: Summer, Category: Tops, Brand: Uniqlo, Color: White, Price: 117.86, Rating: 3.0, Markdown: 0.0%, Demand: High Demand","Recommend stocking 36 units of Tops (Uniqlo, White) for Summer season. Current demand is High Demand with a customer rating of 3.0/5."
FB000042,Tops,Ann Taylor,Summer,M,Green,78.86,0.0,78.86,2025-08-06,22,4.3,False,No Return,8,2025,Medium Demand,37,"Season: Summer, Category: Tops, Brand: Ann Taylor, Color: Green, Price: 78.86, Rating: 4.3, Markdown: 0.0%, Demand: Medium Demand","Recommend stocking 37 units of Tops (Ann Taylor, Green) for Summer season. Current demand is Medium Demand with a customer rating of 4.3/5."
FB000043,Outerwear,Zara,Winter,XS,Navy,216.16,51.4,105.05,2025-08-06,36,4.0,False,No Return,8,2025,Low Demand,41,"Season: Winter, Category: Outerwear, Brand: Zara, Color: Navy, Price: 105.05, Rating: 4.0, Markdown: 51.4%, Demand: Low Demand","Recommend stocking 41 units of Outerwear (Zara, Navy) for Winter season. Current demand is Low Demand with a customer rating of 4.0/5."
FB000044,Shoes,Zara,Spring,XL,Pink,129.85,0.0,129.85,2025-04-25,36,3.3,False,No Return,4,2025,Low Demand,41,"Season: Spring, Category: Shoes, Brand: Zara, Color: Pink, Price: 129.85, Rating: 3.3, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 41 units of Shoes (Zara, Pink) for Spring season. Current demand is Low Demand with a customer rating of 3.3/5."
FB000045,Tops,Banana Republic,Winter,XXL,Green,111.3,0.0,111.3,2025-08-06,11,1.7,False,No Return,8,2025,Medium Demand,26,"Season: Winter, Category: Tops, Brand: Banana Republic, Color: Green, Price: 111.30, Rating: 1.7, Markdown: 0.0%, Demand: Medium Demand","Recommend stocking 26 units of Tops (Banana Republic, Green) for Winter season. Current demand is Medium Demand with a customer rating of 1.7/5."
FB000046,Dresses,Uniqlo,Summer,XL,Brown,73.65,0.0,73.65,2025-08-06,33,3.6,False,No Return,8,2025,Low Demand,38,"Season: Summer, Category: Dresses, Brand: Uniqlo, Color: Brown, Price: 73.65, Rating: 3.6, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 38 units of Dresses (Uniqlo, Brown) for Summer season. Current demand is Low Demand with a customer rating of 3.6/5."
FB000047,Shoes,Mango,Summer,L,Pink,147.13,30.3,102.55,2025-08-06,13,4.4,False,No Return,8,2025,Medium Demand,28,"Season: Summer, Category: Shoes, Brand: Mango, Color: Pink, Price: 102.55, Rating: 4.4, Markdown: 30.3%, Demand: Medium Demand","Recommend stocking 28 units of Shoes (Mango, Pink) for Summer season. Current demand is Medium Demand with a customer rating of 4.4/5."
FB000048,Accessories,Ann Taylor,Winter,Unknown,Green,44.6,53.9,20.56,2025-08-06,42,2.4,False,No Return,8,2025,Low Demand,47,"Season: Winter, Category: Accessories, Brand: Ann Taylor, Color: Green, Price: 20.56, Rating: 2.4, Markdown: 53.9%, Demand: Low Demand","Recommend stocking 47 units of Accessories (Ann Taylor, Green) for Winter season. Current demand is Low Demand with a customer rating of 2.4/5."
FB000049,Bottoms,Forever21,Summer,XL,White,101.8,0.0,101.8,2025-08-06,7,2.8,False,No Return,8,2025,High Demand,37,"Season: Summer, Category: Bottoms, Brand: Forever21, Color: White, Price: 101.80, Rating: 2.8, Markdown: 0.0%, Demand: High Demand","Recommend stocking 37 units of Bottoms (Forever21, White) for Summer season. Current demand is High Demand with a customer rating of 2.8/5."
FB000050,Accessories,Banana Republic,Summer,Unknown,Brown,16.52,55.9,7.29,2025-08-06,43,3.0,False,No Return,8,2025,Low Demand,48,"Season: Summer, Category: Accessories, Brand: Banana Republic, Color: Brown, Price: 7.29, Rating: 3.0, Markdown: 55.9%, Demand: Low Demand","Recommend stocking 48 units of Accessories (Banana Republic, Brown) for Summer season. Current demand is Low Demand with a customer rating of 3.0/5."
FB000051,Bottoms,H&M,Fall,M,Beige,50.91,0.0,50.91,2025-08-06,3,1.8,False,No Return,8,2025,High Demand,33,"Season: Fall, Category: Bottoms, Brand: H&M, Color: Beige, Price: 50.91, Rating: 1.8, Markdown: 0.0%, Demand: High Demand","Recommend stocking 33 units of Bottoms (H&M, Beige) for Fall season. Current demand is High Demand with a customer rating of 1.8/5."
FB000052,Outerwear,Forever21,Spring,S,White,222.26,0.0,222.26,2025-05-03,50,4.5,False,No Return,5,2025,Low Demand,55,"Season: Spring, Category: Outerwear, Brand: Forever21, Color: White, Price: 222.26, Rating: 4.5, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 55 units of Outerwear (Forever21, White) for Spring season. Current demand is Low Demand with a customer rating of 4.5/5."
FB000053,Shoes,Gap,Summer,S,Navy,104.14,57.1,44.68,2025-08-06,14,1.8,False,No Return,8,2025,Medium Demand,29,"Season: Summer, Category: Shoes, Brand: Gap, Color: Navy, Price: 44.68, Rating: 1.8, Markdown: 57.1%, Demand: Medium Demand","Recommend stocking 29 units of Shoes (Gap, Navy) for Summer season. Current demand is Medium Demand with a customer rating of 1.8/5."
FB000054,Outerwear,Zara,Spring,S,White,166.76,0.0,166.76,2025-06-12,21,4.2,False,No Return,6,2025,Medium Demand,36,"Season: Spring, Category: Outerwear, Brand: Zara, Color: White, Price: 166.76, Rating: 4.2, Markdown: 0.0%, Demand: Medium Demand","Recommend stocking 36 units of Outerwear (Zara, White) for Spring season. Current demand is Medium Demand with a customer rating of 4.2/5."
FB000055,Accessories,Banana Republic,Fall,Unknown,Black,44.13,50.9,21.67,2025-08-06,21,3.0,False,No Return,8,2025,Medium Demand,36,"Season: Fall, Category: Accessories, Brand: Banana Republic, Color: Black, Price: 21.67, Rating: 3.0, Markdown: 50.9%, Demand: Medium Demand","Recommend stocking 36 units of Accessories (Banana Republic, Black) for Fall season. Current demand is Medium Demand with a customer rating of 3.0/5."
FB000056,Outerwear,Gap,Summer,S,Green,121.29,15.2,102.85,2025-08-06,42,3.0,False,No Return,8,2025,Low Demand,47,"Season: Summer, Category: Outerwear, Brand: Gap, Color: Green, Price: 102.85, Rating: 3.0, Markdown: 15.2%, Demand: Low Demand","Recommend stocking 47 units of Outerwear (Gap, Green) for Summer season. Current demand is Low Demand with a customer rating of 3.0/5."
FB000057,Tops,H&M,Spring,S,Beige,73.71,0.0,73.71,2025-07-10,35,3.9,True,Quality Issue,7,2025,Low Demand,40,"Season: Spring, Category: Tops, Brand: H&M, Color: Beige, Price: 73.71, Rating: 3.9, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 40 units of Tops (H&M, Beige) for Spring season. Current demand is Low Demand with a customer rating of 3.9/5."
FB000058,Bottoms,Zara,Spring,XL,Brown,84.07,26.3,61.96,2024-10-25,19,2.3,True,Size Issue,10,2024,Medium Demand,34,"Season: Spring, Category: Bottoms, Brand: Zara, Color: Brown, Price: 61.96, Rating: 2.3, Markdown: 26.3%, Demand: Medium Demand","Recommend stocking 34 units of Bottoms (Zara, Brown) for Spring season. Current demand is Medium Demand with a customer rating of 2.3/5."
FB000059,Tops,Mango,Summer,XS,Black,28.59,0.0,28.59,2025-08-06,39,1.4,False,No Return,8,2025,Low Demand,44,"Season: Summer, Category: Tops, Brand: Mango, Color: Black, Price: 28.59, Rating: 1.4, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 44 units of Tops (Mango, Black) for Summer season. Current demand is Low Demand with a customer rating of 1.4/5."
FB000060,Shoes,Mango,Winter,XXL,Blue,166.49,2.6,162.16,2025-08-06,27,3.0,False,No Return,8,2025,Medium Demand,42,"Season: Winter, Category: Shoes, Brand: Mango, Color: Blue, Price: 162.16, Rating: 3.0, Markdown: 2.6%, Demand: Medium Demand","Recommend stocking 42 units of Shoes (Mango, Blue) for Winter season. Current demand is Medium Demand with a customer rating of 3.0/5."
FB000061,Shoes,Ann Taylor,Summer,M,White,145.95,6.6,136.32,2025-08-06,15,4.0,False,No Return,8,2025,Medium Demand,30,"Season: Summer, Category: Shoes, Brand: Ann Taylor, Color: White, Price: 136.32, Rating: 4.0, Markdown: 6.6%, Demand: Medium Demand","Recommend stocking 30 units of Shoes (Ann Taylor, White) for Summer season. Current demand is Medium Demand with a customer rating of 4.0/5."
FB000062,Outerwear,Gap,Fall,M,Purple,218.42,0.0,218.42,2025-08-06,33,4.4,True,Changed Mind,8,2025,Low Demand,38,"Season: Fall, Category: Outerwear, Brand: Gap, Color: Purple, Price: 218.42, Rating: 4.4, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 38 units of Outerwear (Gap, Purple) for Fall season. Current demand is Low Demand with a customer rating of 4.4/5."
FB000063,Accessories,Forever21,Winter,Unknown,White,46.17,1.1,45.66,2025-08-06,30,1.9,False,No Return,8,2025,Medium Demand,45,"Season: Winter, Category: Accessories, Brand: Forever21, Color: White, Price: 45.66, Rating: 1.9, Markdown: 1.1%, Demand: Medium Demand","Recommend stocking 45 units of Accessories (Forever21, White) for Winter season. Current demand is Medium Demand with a customer rating of 1.9/5."
FB000064,Shoes,H&M,Summer,Unknown,Green,106.18,18.0,87.07,2025-08-06,11,4.5,False,No Return,8,2025,Medium Demand,26,"Season: Summer, Category: Shoes, Brand: H&M, Color: Green, Price: 87.07, Rating: 4.5, Markdown: 18.0%, Demand: Medium Demand","Recommend stocking 26 units of Shoes (H&M, Green) for Summer season. Current demand is Medium Demand with a customer rating of 4.5/5."
FB000065,Tops,Zara,Winter,XS,Gray,93.33,2.4,91.09,2025-08-06,20,4.2,False,No Return,8,2025,Medium Demand,35,"Season: Winter, Category: Tops, Brand: Zara, Color: Gray, Price: 91.09, Rating: 4.2, Markdown: 2.4%, Demand: Medium Demand","Recommend stocking 35 units of Tops (Zara, Gray) for Winter season. Current demand is Medium Demand with a customer rating of 4.2/5."
FB000066,Bottoms,Mango,Spring,XS,White,86.54,21.7,67.76,2025-06-01,21,3.6,True,Changed Mind,6,2025,Medium Demand,36,"Season: Spring, Category: Bottoms, Brand: Mango, Color: White, Price: 67.76, Rating: 3.6, Markdown: 21.7%, Demand: Medium Demand","Recommend stocking 36 units of Bottoms (Mango, White) for Spring season. Current demand is Medium Demand with a customer rating of 3.6/5."
FB000067,Accessories,Ann Taylor,Summer,Unknown,Green,55.57,0.0,55.57,2025-08-06,44,3.8,False,No Return,8,2025,Low Demand,49,"Season: Summer, Category: Accessories, Brand: Ann Taylor, Color: Green, Price: 55.57, Rating: 3.8, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 49 units of Accessories (Ann Taylor, Green) for Summer season. Current demand is Low Demand with a customer rating of 3.8/5."
FB000068,Tops,Forever21,Spring,XL,Black,76.5,0.0,76.5,2025-01-26,17,4.6,False,No Return,1,2025,Medium Demand,32,"Season: Spring, Category: Tops, Brand: Forever21, Color: Black, Price: 76.50, Rating: 4.6, Markdown: 0.0%, Demand: Medium Demand","Recommend stocking 32 units of Tops (Forever21, Black) for Spring season. Current demand is Medium Demand with a customer rating of 4.6/5."
FB000069,Dresses,Forever21,Spring,XS,Green,137.19,9.5,124.16,2025-04-01,17,3.0,False,No Return,4,2025,Medium Demand,32,"Season: Spring, Category: Dresses, Brand: Forever21, Color: Green, Price: 124.16, Rating: 3.0, Markdown: 9.5%, Demand: Medium Demand","Recommend stocking 32 units of Dresses (Forever21, Green) for Spring season. Current demand is Medium Demand with a customer rating of 3.0/5."
FB000070,Tops,Zara,Summer,XL,Purple,48.92,19.8,39.23,2025-08-06,17,2.6,False,No Return,8,2025,Medium Demand,32,"Season: Summer, Category: Tops, Brand: Zara, Color: Purple, Price: 39.23, Rating: 2.6, Markdown: 19.8%, Demand: Medium Demand","Recommend stocking 32 units of Tops (Zara, Purple) for Summer season. Current demand is Medium Demand with a customer rating of 2.6/5."
